question,intent
please whats the average age,AVG
i want to what is the highest salary,MAX
please find all students,SELECT
please print all entries,SELECT
could you find average price,AVG
tell me give me a list of data,SELECT
could you find customers,SELECT
please sum of age,SUM
please lowest price,MIN
could you show data from dhaka,SELECT
i want to find all items,SELECT
please show entries where marks is 25,SELECT
i need to what is the average income,AVG
could you number of customers,COUNT
i want to mean value of weight,AVG
please print all people,SELECT
tell me mean price,AVG
could you show me students,SELECT
i want to top age,MAX
i want to whats the biggest score,MAX
please how many people from rajshahi,COUNT
can you add up salary,SUM
could you what is the mean marks,AVG
i want to what is the sum of age,SUM
could you calculate average marks,AVG
tell me maximum marks,MAX
can you display all rows,SELECT
i want to how many items do we have,COUNT
tell me what is the lowest marks,MIN
tell me greatest weight,MAX
i want to count people,COUNT
tell me total price,SUM
i need to add up salary,SUM
can you count all rows,COUNT
could you how many entries are there in total,COUNT
tell me count all customers,COUNT
i need to find students with income less than 60,SELECT
can you biggest salary,MAX
could you find the biggest salary,MAX
please list people with price greater than 25,SELECT
tell me how many students are there in total,COUNT
could you total entries count,COUNT
could you give me data,SELECT
tell me sum of weight,SUM
please show me every customers,SELECT
tell me list all items,SELECT
minimum score,MIN
i need to give me entries,SELECT
i need to what is the total score,SUM
i want to what is the maximum weight,MAX
could you total number of data,COUNT
please see all patients,SELECT
tell me what is the mean income,AVG
could you what is the lowest score,MIN
whats the biggest income,MAX
can you top score,MAX
i need to retrieve items,SELECT
tell me give me customers from khulna,SELECT
how many data are there in total,COUNT
can you top price,MAX
can you whats the smallest height,MIN
total income of customers,SUM
i need to print all people,SELECT
how many items are there,COUNT
tell me show all records,SELECT
please whats the average price,AVG
i need to what is the mean weight,AVG
tell me add up age,SUM
can you total data count,COUNT
could you see the people,SELECT
i need to find all people,SELECT
i want to tell me the lowest price,MIN
lowest marks among rows,MIN
could you show all patients,SELECT
see the items,SELECT
could you give me entries from rajshahi,SELECT
tell me find entries with salary less than 50,SELECT
can you whats the lowest weight,MIN
could you show people where income is 25,SELECT
tell me show me students,SELECT
i need to whats the highest height,MAX
can you what is the lowest price,MIN
i want to total number of rows,COUNT
could you how many people from chittagong,COUNT
could you show customers where weight is 30,SELECT
i need to find average salary,AVG
what is the sum of height,SUM
i need to what is the minimum income,MIN
could you highest weight among people,MAX
i need to find records,SELECT
get items,SELECT
please how many items,COUNT
how many people from khulna,COUNT
please how many patients,COUNT
please show me every items,SELECT
i want to display all records,SELECT
count patients where age is 100,COUNT
can you give me items,SELECT
tell me tell me the smallest price,MIN
i want to how many records are there in total,COUNT
i want to whats the highest weight,MAX
can you find the smallest weight,MIN
i need to number of rows,COUNT
can you find the smallest age,MIN
whats the average height,AVG
i want to how many students,COUNT
tell me fetch entries,SELECT
how many entries with score greater than 60,COUNT
how many people with salary greater than 30,COUNT
can you tell me the highest height,MAX
could you retrieve people,SELECT
please max weight,MAX
i need to count all rows,COUNT
mean value of height,AVG
could you highest price,MAX
i need to show me customers,SELECT
please tell me the biggest income,MAX
could you give me people from sylhet,SELECT
tell me the biggest price,MAX
could you how many records,COUNT
i need to get all rows,SELECT
tell me give me a list of students,SELECT
i want to show me every entries,SELECT
i need to give me a list of data,SELECT
tell me the smallest marks,MIN
could you tell me the highest price,MAX
i want to what is the lowest marks,MIN
tell me whats the smallest salary,MIN
i want to show records where height is 18,SELECT
i need to show all students,SELECT
can you minimum score,MIN
i need to tell me the lowest marks,MIN
i want to lowest salary,MIN
please total income of records,SUM
please sum up all the age,SUM
can you display patients,SELECT
could you what is the count of entries from dhaka,COUNT
tell me find average salary,AVG
what is the lowest salary,MIN
can you how many rows,COUNT
what is the minimum marks,MIN
i need to average score of records from khulna,AVG
please whats the total weight,SUM
can you what is the count of rows,COUNT
could you show people where income is 30,SELECT
tell me what is the total marks,SUM
could you whats the average price,AVG
can you total price,SUM
find the smallest weight,MIN
tell me smallest height,MIN
i want to what is the highest marks,MAX
could you whats the lowest price,MIN
tell me what is the sum of income,SUM
i want to see all records,SELECT
could you how many items,COUNT
tell me who are the entries,SELECT
please least age,MIN
total number of items,COUNT
i need to what is the highest price,MAX
please how many customers do we have,COUNT
can you find the lowest income,MIN
i need to what is the average score,AVG
please find the biggest height,MAX
i need to what is the maximum weight,MAX
i need to add up score,SUM
can you list people,SELECT
could you what is the maximum weight,MAX
tell me give me people from rajshahi,SELECT
i want to find the smallest marks,MIN
i want to mean value of weight,AVG
whats the total weight,SUM
total rows count,COUNT
tell me minimum height,MIN
please minimum weight,MIN
i want to average marks of entries,AVG
i need to lowest marks,MIN
what is the highest score,MAX
i need to get rows,SELECT
i want to tell me the smallest height,MIN
could you largest weight,MAX
maximum weight,MAX
can you average price of patients from rajshahi,AVG
can you find the lowest income,MIN
i need to give me a list of customers,SELECT
could you show patients where price is 50,SELECT
i want to highest price among patients,MAX
tell me what is the maximum income,MAX
could you see all rows,SELECT
can you average income,AVG
could you fetch rows,SELECT
i want to find students with height less than 25,SELECT
can you lowest marks,MIN
i want to what is the sum of score,SUM
please tell me the smallest age,MIN
can you average weight,AVG
i need to display people,SELECT
what is the mean height,AVG
could you find items with score less than 25,SELECT
could you least age,MIN
please fetch students,SELECT
i want to whats the highest salary,MAX
i want to what is the count of people,COUNT
please what is the mean height,AVG
i want to mean value of score,AVG
i want to how many people are there,COUNT
tell me tell me the lowest height,MIN
please tell me the smallest price,MIN
tell me lowest salary among rows,MIN
i need to top marks,MAX
i need to maximum weight,MAX
fetch customers,SELECT
i need to get all students,SELECT
see all records,SELECT
please count items where price is 100,COUNT
can you display all people,SELECT
tell me list patients,SELECT
can you show me rows,SELECT
can you sum age,SUM
could you tell me the lowest price,MIN
could you show me records,SELECT
i want to min income,MIN
i want to how many people are there in total,COUNT
can you whats the average marks,AVG
find the highest salary,MAX
can you find customers with marks less than 25,SELECT
tell me see the items,SELECT
can you greatest height,MAX
i need to sum up all the height,SUM
please display all students,SELECT
please count records where salary is 60,COUNT
i want to whats the smallest age,MIN
could you print all patients,SELECT
could you calculate average score,AVG
please what is the count of people,COUNT
i want to sum of income,SUM
please display patients,SELECT
what is the lowest marks,MIN
tell me count students where salary is 25,COUNT
tell me show records where marks is 30,SELECT
i need to whats the lowest price,MIN
i want to show me every data,SELECT
average score,AVG
i want to how many people from rajshahi,COUNT
please how many people are there,COUNT
least height,MIN
mean weight,AVG
i want to find average price,AVG
tell me list all data,SELECT
please who are the rows,SELECT
tell me total records count,COUNT
i need to maximum age,MAX
whats the total income,SUM
please highest score among data,MAX
please whats the smallest age,MIN
lowest income among people,MIN
tell me largest income,MAX
tell me maximum age,MAX
please how many students do we have,COUNT
can you find the biggest price,MAX
could you count data where marks is 30,COUNT
highest height among patients,MAX
please what is the lowest age,MIN
whats the total price,SUM
i need to sum up all the age,SUM
please tell me the biggest income,MAX
i want to min weight,MIN
i want to mean value of income,AVG
can you list students with height greater than 30,SELECT
find the lowest price,MIN
can you maximum age,MAX
can you min height,MIN
how many customers do we have,COUNT
whats the smallest price,MIN
can you sum up age,SUM
tell me how many rows from rajshahi,COUNT
i want to how many rows with price greater than 100,COUNT
could you give me items from dhaka,SELECT
tell me whats the lowest salary,MIN
i need to largest price,MAX
find the highest age,MAX
i need to what is the count of rows from khulna,COUNT
see the students,SELECT
i need to how many people are there,COUNT
can you lowest score among people,MIN
retrieve items,SELECT
can you average age of data from khulna,AVG
can you highest marks,MAX
could you find customers with income less than 30,SELECT
could you sum weight,SUM
could you tell me the lowest income,MIN
please lowest height,MIN
how many people are there,COUNT
sum weight,SUM
could you what is the mean weight,AVG
please find data,SELECT
list data with height greater than 60,SELECT
i want to what is the minimum score,MIN
i need to sum up age,SUM
could you what is the minimum weight,MIN
top salary,MAX
please whats the average marks,AVG
please show me every rows,SELECT
could you what is the minimum income,MIN
i need to count records,COUNT
please highest salary among people,MAX
please find the lowest height,MIN
biggest age,MAX
i want to get data,SELECT
tell me give me a list of students,SELECT
what is the count of items from khulna,COUNT
what is the count of rows,COUNT
can you how many patients are there,COUNT
total height of rows,SUM
can you total marks of students,SUM
please average salary of items from khulna,AVG
i need to whats the total weight,SUM
i need to mean value of age,AVG
please who are the customers,SELECT
tell me tell me the smallest income,MIN
i want to whats the biggest height,MAX
could you smallest height,MIN
could you find rows with salary less than 30,SELECT
highest income among records,MAX
can you average price of people,AVG
i need to tell me the highest marks,MAX
tell me find people,SELECT
could you lowest price,MIN
tell me list patients with income greater than 25,SELECT
i want to tell me the highest income,MAX
can you count rows,COUNT
i need to how many records do we have,COUNT
how many records do we have,COUNT
could you whats the highest score,MAX
i want to max income,MAX
please add up marks,SUM
tell me what is the total salary,SUM
please lowest age,MIN
i need to what is the sum of age,SUM
please number of entries,COUNT
i want to find average income,AVG
i want to whats the biggest marks,MAX
please largest weight,MAX
tell me how many students,COUNT
i want to whats the highest height,MAX
greatest marks,MAX
can you list all items,SELECT
tell me tell me the biggest score,MAX
tell me see all patients,SELECT
could you get all customers,SELECT
i need to sum marks,SUM
can you give me customers,SELECT
could you tell me the lowest weight,MIN
tell me whats the highest salary,MAX
please maximum weight,MAX
please what is the minimum age,MIN
i need to what is the highest income,MAX
i need to find the lowest price,MIN
i want to total number of customers,COUNT
can you find average income,AVG
i need to average score,AVG
highest salary,MAX
tell me sum of marks,SUM
please average price of items,AVG
please count entries,COUNT
highest marks,MAX
can you how many people from dhaka,COUNT
please display all students,SELECT
please list entries with income greater than 25,SELECT
could you find the lowest height,MIN
could you max income,MAX
can you biggest score,MAX
i want to what is the count of rows from sylhet,COUNT
least weight,MIN
tell me whats the total height,SUM
could you sum up all the salary,SUM
tell me calculate average height,AVG
could you give me a list of people,SELECT
can you print all records,SELECT
i need to retrieve records,SELECT
can you list rows with income greater than 30,SELECT
please add up income,SUM
tell me top marks,MAX
i want to give me data,SELECT
biggest marks,MAX
please what is the count of customers,COUNT
can you what is the mean age,AVG
can you total data count,COUNT
could you what is the lowest age,MIN
i want to sum up all the marks,SUM
could you tell me the biggest income,MAX
count entries,COUNT
tell me retrieve people,SELECT
tell me whats the smallest salary,MIN
can you list all people,SELECT
could you count customers where income is 25,COUNT
i need to see the people,SELECT
please sum up income,SUM
can you find all rows,SELECT
could you total students count,COUNT
could you average weight of customers,AVG
display all customers,SELECT
tell me minimum weight,MIN
tell me sum up all the height,SUM
i want to find the biggest salary,MAX
tell me total age of data,SUM
